zip,city,region,district
27705,Viet Tri,East,District #08
27706,Lao Cai,East,District #08
27707,Ha Long,East,District #08
27708,Thai Nguyen,East,District #08
27709,Ninh Binh,East,District #08
27710,Hanoi,East,District #08
27711,Son Tay,East,District #08
27712,Lao Cai,East,District #08
27713,Ha Long,East,District #08
27715,Hai Phong,East,District #08
27717,Viet Tri,East,District #08
27722,Hanoi,East,District #08
27801,Cam Pha,East,District #08
27802,Hanoi,East,District #08
27803,Cam Pha,East,District #08
27804,Thai Nguyen,East,District #08
27805,Viet Tri,East,District #08
27806,Lao Cai,East,District #08
27807,Bac Giang,East,District #08
27808,Uong Bi,East,District #08
27809,Uong Bi,East,District #08
27810,Son Tay,East,District #08
27811,Nam Dinh,East,District #08
27812,Nam Dinh,East,District #08
27813,Bac Ninh,East,District #08
27814,Phu Ly,East,District #08
27815,Lao Cai,East,District #08
27816,Nam Dinh,East,District #08
27817,Hai Phong,East,District #08
27818,Uong Bi,East,District #08
27819,Uong Bi,East,District #08
27820,Bac Ninh,East,District #08
27821,Ha Long,East,District #08
27822,Ninh Binh,East,District #08
27823,Ninh Binh,East,District #08
27825,Phu Ly,East,District #08
27827,Uong Bi,East,District #08
27828,Nam Dinh,East,District #08
27829,Bac Ninh,East,District #08
27830,Hanoi,East,District #08
27831,Nam Dinh,East,District #08
27832,Bac Giang,East,District #08
27833,Bac Giang,East,District #08
27834,Hai Phong,East,District #08
27835,Son Tay,East,District #08
27836,Nam Dinh,East,District #08
27837,Cam Pha,East,District #08
27839,Bac Giang,East,District #08
27840,Bac Giang,East,District #08
27841,Ninh Binh,East,District #08
27842,Phu Ly,East,District #08
27843,Lao Cai,East,District #08
27844,Bac Ninh,East,District #08
27845,Nam Dinh,East,District #08
27846,Bac Ninh,East,District #08
27847,Cam Pha,East,District #08
27849,Thai Nguyen,East,District #08
27850,Bac Giang,East,District #08
27851,Ha Long,East,District #08
27852,Uong Bi,East,District #08
27853,Viet Tri,East,District #08
27855,Cam Pha,East,District #08
27856,Lao Cai,East,District #08
27857,Son Tay,East,District #08
27858,Lao Cai,East,District #08
27860,Hai Phong,East,District #08
27861,Lao Cai,East,District #08
27862,Thai Nguyen,East,District #08
27863,Bac Giang,East,District #08
27864,Bac Ninh,East,District #08
27865,Nam Dinh,East,District #08
27866,Lao Cai,East,District #08
27867,Uong Bi,East,District #08
27868,Son Tay,East,District #08
27869,Son Tay,East,District #08
27870,Bac Ninh,East,District #08
27871,Phu Ly,East,District #08
27872,Cam Pha,East,District #08
27873,Bac Giang,East,District #08
27874,Phu Ly,East,District #08
27875,Viet Tri,East,District #08
27876,Lao Cai,East,District #08
27877,Phu Ly,East,District #08
27878,Uong Bi,East,District #08
27879,Lao Cai,East,District #08
27880,Hai Phong,East,District #08
27881,Phu Ly,East,District #08
27882,Bac Ninh,East,District #08
27883,Bac Giang,East,District #08
27884,Phu Ly,East,District #08
27885,Nam Dinh,East,District #08
27886,Lao Cai,East,District #08
27887,Bac Giang,East,District #08
27888,Thai Nguyen,East,District #08
27889,Thai Nguyen,East,District #08
27890,Bac Ninh,East,District #08
27891,Son Tay,East,District #08
27892,Hai Phong,East,District #08
27893,Cam Pha,East,District #08
27894,Ninh Binh,East,District #08
27895,Bac Giang,East,District #08
27896,Cam Pha,East,District #08
27897,Thai Nguyen,East,District #08
27910,Hai Phong,East,District #08
27922,Uong Bi,East,District #08
27924,Lao Cai,East,District #08
27928,Cam Pha,East,District #08
27942,Bac Giang,East,District #08
27957,Hai Phong,East,District #08
27962,Son Tay,East,District #08
27967,Lao Cai,East,District #08
27970,Lao Cai,East,District #08
27983,Bac Ninh,East,District #08
27986,Uong Bi,East,District #08
28091,Bac Giang,East,District #08
28102,Nam Dinh,East,District #08
28119,Ha Long,East,District #08
28301,Bac Ninh,East,District #08
28302,Cam Pha,East,District #08
28303,Hai Phong,East,District #08
28304,Viet Tri,East,District #08
28305,Bac Giang,East,District #08
28306,Lao Cai,East,District #08
28307,Nam Dinh,East,District #08
28308,Hanoi,East,District #08
28309,Thai Nguyen,East,District #08
28310,Son Tay,East,District #08
28311,Thai Nguyen,East,District #08
28312,Viet Tri,East,District #08
28314,Ninh Binh,East,District #08
28315,Nam Dinh,East,District #08
28318,Uong Bi,East,District #08
28319,Ha Long,East,District #08
28320,Bac Ninh,East,District #08
28323,Thai Nguyen,East,District #08
28325,Viet Tri,East,District #08
28326,Lao Cai,East,District #08
28327,Nam Dinh,East,District #08
28328,Thai Nguyen,East,District #08
28329,Ninh Binh,East,District #08
28330,Bac Giang,East,District #08
28331,Cam Pha,East,District #08
28332,Viet Tri,East,District #08
28333,Hai Phong,East,District #08
28334,Lao Cai,East,District #08
28335,Bac Ninh,East,District #08
28337,Viet Tri,East,District #08
28338,Bac Giang,East,District #08
28339,Phu Ly,East,District #08
28341,Uong Bi,East,District #08
28342,Ha Long,East,District #08
28343,Ha Long,East,District #08
28344,Lao Cai,East,District #08
28345,Cam Pha,East,District #08
28347,Nam Dinh,East,District #08
28348,Ha Long,East,District #08
28349,Hai Phong,East,District #08
28350,Lao Cai,East,District #08
28351,Son Tay,East,District #08
28352,Bac Ninh,East,District #08
28353,Ha Long,East,District #08
28355,Bac Ninh,East,District #08
28356,Hai Phong,East,District #08
28357,Cam Pha,East,District #08
28358,Uong Bi,East,District #08
28359,Son Tay,East,District #08
28360,Thai Nguyen,East,District #08
28363,Ha Long,East,District #08
28364,Hai Phong,East,District #08
28365,Bac Ninh,East,District #08
28366,Uong Bi,East,District #08
28367,Hanoi,East,District #08
28368,Phu Ly,East,District #08
28369,Bac Giang,East,District #08
28370,Ninh Binh,East,District #08
28371,Bac Giang,East,District #08
28372,Ha Long,East,District #08
28373,Hanoi,East,District #08
28374,Cam Pha,East,District #08
28375,Cam Pha,East,District #08
28376,Ninh Binh,East,District #08
28377,Lao Cai,East,District #08
28378,Ha Long,East,District #08
28379,Thai Nguyen,East,District #08
28380,Ha Long,East,District #08
28382,Hai Phong,East,District #08
28384,Hanoi,East,District #08
28385,Hai Phong,East,District #08
28386,Cam Pha,East,District #08
28387,Ha Long,East,District #08
28388,Ha Long,East,District #08
28390,Hai Phong,East,District #08
28391,Phu Ly,East,District #08
28392,Uong Bi,East,District #08
28393,Son Tay,East,District #08
28394,Hai Phong,East,District #08
28395,Ha Long,East,District #08
28396,Bac Giang,East,District #08
28398,Viet Tri,East,District #08
28399,Hai Phong,East,District #08
28401,Ha Long,East,District #08
28402,Bac Ninh,East,District #08
28403,Hanoi,East,District #08
28404,Bac Ninh,East,District #08
28405,Phu Ly,East,District #08
28406,Cam Pha,East,District #08
28407,Bac Giang,East,District #08
28408,Bac Giang,East,District #08
28409,Son Tay,East,District #08
28410,Cam Pha,East,District #08
28411,Cam Pha,East,District #08
28412,Son Tay,East,District #08
28421,Ha Long,East,District #08
28422,Hai Phong,East,District #08
28423,Bac Giang,East,District #08
28424,Thai Nguyen,East,District #08
28425,Ha Long,East,District #08
28428,Hai Phong,East,District #08
28429,Lao Cai,East,District #08
28431,Uong Bi,East,District #08
28433,Viet Tri,East,District #08
28434,Hai Phong,East,District #08
28435,Thai Nguyen,East,District #08
28436,Uong Bi,East,District #08
28438,Cam Pha,East,District #08
28441,Viet Tri,East,District #08
28442,Viet Tri,East,District #08
28443,Bac Ninh,East,District #08
28444,Phu Ly,East,District #08
28445,Nam Dinh,East,District #08
28447,Hai Phong,East,District #08
28448,Lao Cai,East,District #08
28449,Hanoi,East,District #08
28450,Nam Dinh,East,District #08
28451,Hai Phong,East,District #08
28453,Nam Dinh,East,District #08
28454,Bac Ninh,East,District #08
28456,Hai Phong,East,District #08
28457,Bac Giang,East,District #08
28458,Lao Cai,East,District #08
28459,Hai Phong,East,District #08
28460,Lao Cai,East,District #08
28461,Bac Ninh,East,District #08
28462,Uong Bi,East,District #08
28464,Bac Giang,East,District #08
28465,Thai Nguyen,East,District #08
28466,Hai Phong,East,District #08
28470,Uong Bi,East,District #08
28472,Lao Cai,East,District #08
28478,Cam Pha,East,District #08
28479,Uong Bi,East,District #08
28480,Viet Tri,East,District #08
28501,Bac Ninh,East,District #08
28502,Hai Phong,East,District #08
28503,Cam Pha,East,District #08
28504,Lao Cai,East,District #08
28508,Thai Nguyen,East,District #08
28509,Lao Cai,East,District #08
28510,Ninh Binh,East,District #08
28511,Nam Dinh,East,District #08
28512,Uong Bi,East,District #08
28513,Phu Ly,East,District #08
28515,Bac Giang,East,District #08
28516,Viet Tri,East,District #08
28518,Lao Cai,East,District #08
28519,Uong Bi,East,District #08
28520,Ninh Binh,East,District #08
28521,Ninh Binh,East,District #08
28522,Ninh Binh,East,District #08
28523,Ninh Binh,East,District #08
28524,Nam Dinh,East,District #08
28525,Hanoi,East,District #08
28526,Ha Long,East,District #08
28527,Nam Dinh,East,District #08
28528,Viet Tri,East,District #08
28529,Cam Pha,East,District #08
28530,Bac Giang,East,District #08
28531,Hanoi,East,District #08
28532,Viet Tri,East,District #08
28533,Bac Ninh,East,District #08
28537,Phu Ly,East,District #08
28538,Hai Phong,East,District #08
28539,Thai Nguyen,East,District #08
28540,Hanoi,East,District #08
28541,Nam Dinh,East,District #08
28542,Lao Cai,East,District #08
28543,Bac Giang,East,District #08
28544,Bac Giang,East,District #08
28545,Nam Dinh,East,District #08
28546,Nam Dinh,East,District #08
28547,Viet Tri,East,District #08
28551,Son Tay,East,District #08
28552,Phu Ly,East,District #08
28553,Phu Ly,East,District #08
28554,Bac Giang,East,District #08
28555,Hai Phong,East,District #08
28556,Phu Ly,East,District #08
28557,Ninh Binh,East,District #08
28560,Cam Pha,East,District #08
28561,Hai Phong,East,District #08
28562,Viet Tri,East,District #08
28563,Lao Cai,East,District #08
28564,Nam Dinh,East,District #08
28570,Ha Long,East,District #08
28571,Phu Ly,East,District #08
28572,Thai Nguyen,East,District #08
28573,Phu Ly,East,District #08
28574,Viet Tri,East,District #08
28575,Nam Dinh,East,District #08
28577,Hanoi,East,District #08
28578,Cam Pha,East,District #08
28579,Bac Ninh,East,District #08
28580,Ninh Binh,East,District #08
28581,Bac Ninh,East,District #08
28582,Nam Dinh,East,District #08
28583,Lao Cai,East,District #08
28584,Phu Ly,East,District #08
28585,Uong Bi,East,District #08
28586,Son Tay,East,District #08
28587,Phu Ly,East,District #08
28589,Lao Cai,East,District #08
28590,Ninh Binh,East,District #08
28594,Bac Ninh,East,District #08
28605,Hanoi,East,District #08
28606,Uong Bi,East,District #08
28607,Phu Ly,East,District #08
28608,Son Tay,East,District #08
28615,Viet Tri,East,District #08
28617,Cam Pha,East,District #08
28618,Uong Bi,East,District #08
28621,Hai Phong,East,District #08
28623,Hanoi,East,District #08
28624,Hanoi,East,District #08
28626,Lao Cai,East,District #08
28627,Ninh Binh,East,District #08
28629,Nam Dinh,East,District #08
28631,Bac Ninh,East,District #08
28635,Bac Giang,East,District #08
28640,Nam Dinh,East,District #08
28642,Bac Ninh,East,District #08
28643,Thai Nguyen,East,District #08
28644,Viet Tri,East,District #08
28649,Phu Ly,East,District #08
28651,Hai Phong,East,District #08
28654,Bac Giang,East,District #08
28656,Son Tay,East,District #08
28659,Lao Cai,East,District #08
28663,Ninh Binh,East,District #08
28665,Phu Ly,East,District #08
28668,Hanoi,East,District #08
28669,Son Tay,East,District #08
28670,Phu Ly,East,District #08
28672,Lao Cai,East,District #08
28674,Lao Cai,East,District #08
28675,Nam Dinh,East,District #08
28676,Hanoi,East,District #08
28679,Viet Tri,East,District #08
28683,Bac Giang,East,District #08
28684,Hanoi,East,District #08
28685,Nam Dinh,East,District #08
28689,Son Tay,East,District #08
28692,Bac Ninh,East,District #08
28693,Nam Dinh,East,District #08
28694,Viet Tri,East,District #08
28697,Viet Tri,East,District #08
28698,Thai Nguyen,East,District #08
35010,Ninh Binh,East,District #09
35011,Uong Bi,East,District #09
35014,Ha Long,East,District #09
35072,Thai Nguyen,East,District #09
35082,Ninh Binh,East,District #09
35089,Hai Phong,East,District #09
35096,Hanoi,East,District #09
35131,Viet Tri,East,District #09
35136,Bac Giang,East,District #09
35149,Nam Dinh,East,District #09
35150,Bac Giang,East,District #09
35160,Ha Long,East,District #09
35161,Bac Ninh,East,District #09
35183,Nam Dinh,East,District #09
35771,Uong Bi,East,District #09
35901,Viet Tri,East,District #09
35902,Lao Cai,East,District #09
35903,Hanoi,East,District #09
35904,Thai Nguyen,East,District #09
35905,Nam Dinh,East,District #09
35906,Uong Bi,East,District #09
35907,Cam Pha,East,District #09
35954,Lao Cai,East,District #09
35956,Lao Cai,East,District #09
35957,Phu Ly,East,District #09
35959,Ha Long,East,District #09
35960,Hanoi,East,District #09
35961,Lao Cai,East,District #09
35962,Son Tay,East,District #09
35963,Nam Dinh,East,District #09
35967,Hanoi,East,District #09
35971,Viet Tri,East,District #09
35973,Uong Bi,East,District #09
35974,Lao Cai,East,District #09
35983,Uong Bi,East,District #09
35984,Phu Ly,East,District #09
36003,Ninh Binh,East,District #09
36005,Hanoi,East,District #09
36006,Ha Long,East,District #09
36008,Phu Ly,East,District #09
36009,Ha Long,East,District #09
36010,Ha Long,East,District #09
36013,Phu Ly,East,District #09
36015,Ha Long,East,District #09
36016,Ha Long,East,District #09
36017,Hanoi,East,District #09
36020,Bac Giang,East,District #09
36022,Uong Bi,East,District #09
36023,Phu Ly,East,District #09
36024,Lao Cai,East,District #09
36025,Viet Tri,East,District #09
36026,Phu Ly,East,District #09
36027,Ha Long,East,District #09
36028,Thai Nguyen,East,District #09
36029,Thai Nguyen,East,District #09
36030,Hanoi,East,District #09
36031,Son Tay,East,District #09
36032,Nam Dinh,East,District #09
36033,Bac Giang,East,District #09
36034,Thai Nguyen,East,District #09
36035,Hanoi,East,District #09
36036,Lao Cai,East,District #09
36037,Nam Dinh,East,District #09
36038,Hai Phong,East,District #09
36039,Thai Nguyen,East,District #09
36040,Ha Long,East,District #09
36041,Son Tay,East,District #09
36042,Ha Long,East,District #09
36043,Thai Nguyen,East,District #09
36045,Nam Dinh,East,District #09
36046,Hanoi,East,District #09
36047,Hanoi,East,District #09
36048,Cam Pha,East,District #09
36049,Nam Dinh,East,District #09
36051,Hai Phong,East,District #09
36052,Thai Nguyen,East,District #09
36053,Nam Dinh,East,District #09
36054,Bac Ninh,East,District #09
36057,Son Tay,East,District #09
36061,Thai Nguyen,East,District #09
36062,Viet Tri,East,District #09
36064,Phu Ly,East,District #09
36065,Hanoi,East,District #09
36066,Cam Pha,East,District #09
36067,Bac Giang,East,District #09
36068,Cam Pha,East,District #09
36069,Ha Long,East,District #09
36071,Bac Giang,East,District #09
36072,Hai Phong,East,District #09
36075,Son Tay,East,District #09
36078,Uong Bi,East,District #09
36079,Hanoi,East,District #09
36080,Cam Pha,East,District #09
36081,Lao Cai,East,District #09
36082,Phu Ly,East,District #09
36083,Nam Dinh,East,District #09
36087,Lao Cai,East,District #09
36088,Ha Long,East,District #09
36089,Nam Dinh,East,District #09
36091,Ha Long,East,District #09
36092,Lao Cai,East,District #09
36093,Phu Ly,East,District #09
36101,Cam Pha,East,District #09
36102,Viet Tri,East,District #09
36103,Nam Dinh,East,District #09
36104,Hanoi,East,District #09
36105,Ninh Binh,East,District #09
36106,Son Tay,East,District #09
36107,Hanoi,East,District #09
36108,Hanoi,East,District #09
36109,Cam Pha,East,District #09
36110,Hanoi,East,District #09
36111,Phu Ly,East,District #09
36112,Son Tay,East,District #09
36113,Nam Dinh,East,District #09
36114,Thai Nguyen,East,District #09
36115,Lao Cai,East,District #09
36116,Thai Nguyen,East,District #09
36117,Nam Dinh,East,District #09
36118,Hai Phong,East,District #09
36119,Ninh Binh,East,District #09
36120,Lao Cai,East,District #09
36121,Hai Phong,East,District #09
36123,Ninh Binh,East,District #09
36124,Ha Long,East,District #09
36125,Hai Phong,East,District #09
36130,Bac Ninh,East,District #09
36131,Bac Giang,East,District #09
36132,Ninh Binh,East,District #09
36133,Viet Tri,East,District #09
36134,Ha Long,East,District #09
36135,Uong Bi,East,District #09
36140,Lao Cai,East,District #09
36141,Viet Tri,East,District #09
36142,Nam Dinh,East,District #09
36177,Hai Phong,East,District #09
36191,Bac Giang,East,District #09
36201,Bac Giang,East,District #09
36202,Thai Nguyen,East,District #09
36203,Hai Phong,East,District #09
36204,Hai Phong,East,District #09
36205,Cam Pha,East,District #09
36206,Son Tay,East,District #09
36207,Uong Bi,East,District #09
36250,Bac Giang,East,District #09
36251,Son Tay,East,District #09
36253,Viet Tri,East,District #09
36254,Phu Ly,East,District #09
36255,Uong Bi,East,District #09
36256,Phu Ly,East,District #09
36257,Cam Pha,East,District #09
36258,Uong Bi,East,District #09
36260,Uong Bi,East,District #09
36261,Phu Ly,East,District #09
36262,Lao Cai,East,District #09
36263,Thai Nguyen,East,District #09
36264,Viet Tri,East,District #09
36265,Hanoi,East,District #09
36266,Cam Pha,East,District #09
36267,Lao Cai,East,District #09
36268,Viet Tri,East,District #09
36269,Nam Dinh,East,District #09
36271,Uong Bi,East,District #09
36272,Bac Ninh,East,District #09
36273,Bac Giang,East,District #09
36274,Nam Dinh,East,District #09
36275,Uong Bi,East,District #09
36276,Ha Long,East,District #09
36277,Bac Giang,East,District #09
36278,Son Tay,East,District #09
36279,Phu Ly,East,District #09
36280,Bac Ninh,East,District #09
36301,Son Tay,East,District #09
36302,Hanoi,East,District #09
36303,Son Tay,East,District #09
36304,Thai Nguyen,East,District #09
36305,Ninh Binh,East,District #09
36310,Son Tay,East,District #09
36311,Uong Bi,East,District #09
36312,Uong Bi,East,District #09
36313,Phu Ly,East,District #09
36314,Nam Dinh,East,District #09
36316,Ha Long,East,District #09
36317,Thai Nguyen,East,District #09
36318,Bac Giang,East,District #09
36319,Phu Ly,East,District #09
36320,Nam Dinh,East,District #09
36321,Cam Pha,East,District #09
36322,Hanoi,East,District #09
36323,Hanoi,East,District #09
36330,Son Tay,East,District #09
36331,Ninh Binh,East,District #09
36340,Lao Cai,East,District #09
36343,Thai Nguyen,East,District #09
36344,Cam Pha,East,District #09
36345,Viet Tri,East,District #09
36346,Nam Dinh,East,District #09
36349,Phu Ly,East,District #09
36350,Viet Tri,East,District #09
36351,Bac Ninh,East,District #09
36352,Bac Giang,East,District #09
36353,Thai Nguyen,East,District #09
36360,Ninh Binh,East,District #09
36361,Son Tay,East,District #09
36362,Son Tay,East,District #09
36370,Phu Ly,East,District #09
36371,Thai Nguyen,East,District #09
36373,Phu Ly,East,District #09
36374,Nam Dinh,East,District #09
36375,Lao Cai,East,District #09
36376,Nam Dinh,East,District #09
36401,Bac Ninh,East,District #09
36420,Hai Phong,East,District #09
36421,Hai Phong,East,District #09
36425,Bac Ninh,East,District #09
36426,Cam Pha,East,District #09
36427,Hanoi,East,District #09
36429,Ninh Binh,East,District #09
36432,Hai Phong,East,District #09
36435,Son Tay,East,District #09
36439,Nam Dinh,East,District #09
36441,Bac Ninh,East,District #09
36442,Ha Long,East,District #09
36445,Ninh Binh,East,District #09
36449,Phu Ly,East,District #09
36453,Hai Phong,East,District #09
36454,Hai Phong,East,District #09
36455,Uong Bi,East,District #09
36456,Lao Cai,East,District #09
36457,Hai Phong,East,District #09
36458,Nam Dinh,East,District #09
36460,Cam Pha,East,District #09
36461,Hai Phong,East,District #09
36467,Thai Nguyen,East,District #09
36470,Hanoi,East,District #09
36473,Bac Giang,East,District #09
36474,Phu Ly,East,District #09
36475,Bac Ninh,East,District #09
36476,Nam Dinh,East,District #09
36477,Bac Ninh,East,District #09
36483,Cam Pha,East,District #09
36502,Ha Long,East,District #09
36503,Hai Phong,East,District #09
36504,Ha Long,East,District #09
36511,Son Tay,East,District #09
36530,Phu Ly,East,District #09
36535,Hai Phong,East,District #09
36536,Thai Nguyen,East,District #09
36542,Bac Ninh,East,District #09
36543,Ha Long,East,District #09
36547,Ninh Binh,East,District #09
36549,Son Tay,East,District #09
36555,Nam Dinh,East,District #09
36561,Hanoi,East,District #09
36567,Nam Dinh,East,District #09
36574,Uong Bi,East,District #09
36580,Ninh Binh,East,District #09
36701,Thai Nguyen,East,District #09
36702,Nam Dinh,East,District #09
36703,Nam Dinh,East,District #09
36720,Hanoi,East,District #09
36723,Hanoi,East,District #09
36726,Bac Ninh,East,District #09
36741,Uong Bi,East,District #09
36749,Hanoi,East,District #09
36752,Ha Long,East,District #09
36753,Lao Cai,East,District #09
36758,Son Tay,East,District #09
36759,Uong Bi,East,District #09
36761,Cam Pha,East,District #09
36766,Uong Bi,East,District #09
36767,Bac Ninh,East,District #09
36768,Ha Long,East,District #09
36773,Bac Ninh,East,District #09
36775,Viet Tri,East,District #09
36785,Viet Tri,East,District #09
36801,Viet Tri,East,District #09
36802,Uong Bi,East,District #09
36803,Hanoi,East,District #09
36804,Uong Bi,East,District #09
36830,Lao Cai,East,District #09
36831,Viet Tri,East,District #09
36832,Uong Bi,East,District #09
36849,Nam Dinh,East,District #09
36850,Ninh Binh,East,District #09
36851,Bac Giang,East,District #09
36852,Nam Dinh,East,District #09
36853,Bac Giang,East,District #09
36854,Hai Phong,East,District #09
36855,Lao Cai,East,District #09
36856,Viet Tri,East,District #09
36858,Thai Nguyen,East,District #09
36859,Ninh Binh,East,District #09
36860,Hanoi,East,District #09
36861,Bac Ninh,East,District #09
36862,Viet Tri,East,District #09
36863,Hanoi,East,District #09
36865,Viet Tri,East,District #09
36866,Ninh Binh,East,District #09
36867,Uong Bi,East,District #09
36868,Ha Long,East,District #09
36869,Phu Ly,East,District #09
36870,Thai Nguyen,East,District #09
36871,Phu Ly,East,District #09
36872,Uong Bi,East,District #09
36874,Hai Phong,East,District #09
36875,Hai Phong,East,District #09
36877,Hanoi,East,District #09
36879,Hai Phong,East,District #09
28902,Thai Nguyen,East,District #09
28904,Hanoi,East,District #09
28909,Son Tay,East,District #09
39813,Lao Cai,East,District #09
39823,Ha Long,East,District #09
39824,Thai Nguyen,East,District #09
39832,Phu Ly,East,District #09
39836,Viet Tri,East,District #09
39837,Uong Bi,East,District #09
39840,Son Tay,East,District #09
39841,Uong Bi,East,District #09
39845,Viet Tri,East,District #09
39846,Cam Pha,East,District #09
39851,Cam Pha,East,District #09
39854,Thai Nguyen,East,District #09
39859,Cam Pha,East,District #09
39861,Lao Cai,East,District #09
39862,Bac Ninh,East,District #09
39866,Hai Phong,East,District #09
39867,Uong Bi,East,District #09
39877,Phu Ly,East,District #09
39886,Son Tay,East,District #09
30002,Cam Pha,East,District #09
30003,Ninh Binh,East,District #09
30004,Nam Dinh,East,District #09
30005,Bac Ninh,East,District #09
30006,Bac Ninh,East,District #09
30007,Thai Nguyen,East,District #09
30008,Phu Ly,East,District #09
30009,Lao Cai,East,District #09
30010,Thai Nguyen,East,District #09
30011,Hai Phong,East,District #09
30012,Ninh Binh,East,District #09
30013,Ninh Binh,East,District #09
30014,Son Tay,East,District #09
30015,Nam Dinh,East,District #09
30016,Phu Ly,East,District #09
30017,Phu Ly,East,District #09
30018,Ninh Binh,East,District #09
30019,Ninh Binh,East,District #09
30021,Son Tay,East,District #09
30022,Bac Giang,East,District #09
30023,Hai Phong,East,District #09
30024,Ha Long,East,District #09
30025,Lao Cai,East,District #09
30026,Ninh Binh,East,District #09
30028,Hanoi,East,District #09
30029,Bac Ninh,East,District #09
30030,Nam Dinh,East,District #09
30031,Thai Nguyen,East,District #09
30032,Uong Bi,East,District #09
30033,Cam Pha,East,District #09
30034,Bac Giang,East,District #09
30035,Bac Giang,East,District #09
30036,Uong Bi,East,District #09
30037,Viet Tri,East,District #09
30038,Hanoi,East,District #09
30039,Hai Phong,East,District #09
30040,Thai Nguyen,East,District #09
30041,Bac Giang,East,District #09
30042,Son Tay,East,District #09
30043,Lao Cai,East,District #09
30044,Viet Tri,East,District #09
30045,Hanoi,East,District #09
30046,Hai Phong,East,District #09
30047,Bac Giang,East,District #09
30048,Uong Bi,East,District #09
30049,Viet Tri,East,District #09
30052,Hai Phong,East,District #09
30054,Lao Cai,East,District #09
30055,Bac Giang,East,District #09
30056,Uong Bi,East,District #09
30058,Hanoi,East,District #09
30060,Ninh Binh,East,District #09
30061,Cam Pha,East,District #09
30062,Nam Dinh,East,District #09
30063,Thai Nguyen,East,District #09
30064,Thai Nguyen,East,District #09
30065,Hanoi,East,District #09
30066,Son Tay,East,District #09
30067,Ninh Binh,East,District #09
30068,Lao Cai,East,District #09
30069,Thai Nguyen,East,District #09
30070,Cam Pha,East,District #09
30071,Bac Giang,East,District #09
30072,Bac Giang,East,District #09
30073,Uong Bi,East,District #09
30074,Bac Giang,East,District #09
30075,Phu Ly,East,District #09
30076,Hanoi,East,District #09
30077,Ha Long,East,District #09
30078,Lao Cai,East,District #09
30079,Lao Cai,East,District #09
30080,Ninh Binh,East,District #09
30081,Bac Ninh,East,District #09
30082,Bac Giang,East,District #09
30083,Hanoi,East,District #09
30084,Nam Dinh,East,District #09
30085,Phu Ly,East,District #09
30086,Thai Nguyen,East,District #09
30087,Bac Giang,East,District #09
30088,Hai Phong,East,District #09
30090,Bac Giang,East,District #09
30091,Phu Ly,East,District #09
30092,Uong Bi,East,District #09
30093,Cam Pha,East,District #09
30094,Lao Cai,East,District #09
30095,Nam Dinh,East,District #09
30096,Thai Nguyen,East,District #09
30097,Uong Bi,East,District #09
30098,Bac Giang,East,District #09
30099,Son Tay,East,District #09
30101,Hanoi,East,District #09
30102,Hai Phong,East,District #09
30103,Thai Nguyen,East,District #09
30104,Bac Giang,East,District #09
30105,Lao Cai,East,District #09
30106,Bac Giang,East,District #09
30107,Bac Giang,East,District #09
30108,Ha Long,East,District #09
30109,Bac Giang,East,District #09
30110,Cam Pha,East,District #09
30111,Uong Bi,East,District #09
30112,Uong Bi,East,District #09
30113,Bac Giang,East,District #09
30114,Ha Long,East,District #09
30115,Ha Long,East,District #09
30116,Ha Long,East,District #09
30117,Uong Bi,East,District #09
30118,Ninh Binh,East,District #09
30119,Lao Cai,East,District #09
30120,Thai Nguyen,East,District #09
30121,Hai Phong,East,District #09
30122,Uong Bi,East,District #09
30123,Hanoi,East,District #09
30124,Uong Bi,East,District #09
30125,Bac Ninh,East,District #09
30126,Ninh Binh,East,District #09
30127,Uong Bi,East,District #09
30129,Phu Ly,East,District #09
30132,Bac Ninh,East,District #09
30133,Ninh Binh,East,District #09
30134,Cam Pha,East,District #09
30135,Uong Bi,East,District #09
30137,Bac Ninh,East,District #09
30138,Bac Giang,East,District #09
30139,Ninh Binh,East,District #09
30140,Bac Ninh,East,District #09
30141,Hanoi,East,District #09
30142,Bac Ninh,East,District #09
30143,Bac Ninh,East,District #09
30144,Bac Ninh,East,District #09
30145,Hanoi,East,District #09
30146,Hai Phong,East,District #09
30147,Thai Nguyen,East,District #09
30148,Bac Ninh,East,District #09
30149,Hanoi,East,District #09
30150,Bac Ninh,East,District #09
30151,Thai Nguyen,East,District #09
30152,Hanoi,East,District #09
30153,Nam Dinh,East,District #09
30154,Nam Dinh,East,District #09
30156,Ha Long,East,District #09
30157,Phu Ly,East,District #09
30160,Hai Phong,East,District #09
30161,Uong Bi,East,District #09
30162,Viet Tri,East,District #09
30163,Ninh Binh,East,District #09
30164,Cam Pha,East,District #09
30165,Cam Pha,East,District #09
30168,Phu Ly,East,District #09
30169,Ninh Binh,East,District #09
30170,Ha Long,East,District #09
30171,Ninh Binh,East,District #09
30172,Bac Giang,East,District #09
30173,Hai Phong,East,District #09
30175,Uong Bi,East,District #09
30176,Son Tay,East,District #09
30177,Hai Phong,East,District #09
30178,Hanoi,East,District #09
30179,Lao Cai,East,District #09
30180,Uong Bi,East,District #09
30182,Nam Dinh,East,District #09
30183,Ninh Binh,East,District #09
30184,Bac Ninh,East,District #09
30185,Thai Nguyen,East,District #09
30187,Thai Nguyen,East,District #09
30188,Uong Bi,East,District #09
30189,Hai Phong,East,District #09
30204,Bac Ninh,East,District #09
